input,name,quantity,unit,comment
"150 g green beans, trimmed and halved",green beans,150,g,trimmed and halved
125 g frozen edamame beans,frozen edamame beans,125,g,
2 tbsp cornflour,cornflour,2,tbsp,
100 ml half-fat crème fraîche,half-fat crème fraîche,100,ml,
0.5 lb penne pasta,penne pasta,0.5,lb,
1 yellow onion,yellow onion,1,,
2 cloves garlic,garlic,2,cloves,
1 tbsp olive oil,olive oil,1,tbsp,
1 15 oz can diced tomatoes,diced tomatoes,1,15 oz can,
0.5 tsp dried oregano,dried oregano,0.5,tsp,
0.5 tsp dried basil,dried basil,0.5,tsp,
1 pinch crushed red pepper,crushed red pepper,1,pinch,
0.5 tsp salt,salt,0.5,tsp,
freshly cracked black pepper to taste,freshly cracked black pepper to taste,,,
2 tbsp tomato paste,tomato paste,2,tbsp,
2 oz cream cheese,cream cheese,2,oz,
0.25 cup grated Parmesan,grated Parmesan,0.25,cup,
4 oz fresh spinach,fresh spinach,4,oz,
1 tbsp extra virgin olive oil,extra virgin olive oil,1,tbsp,
"1 red onion, diced",red onion,1,,diced
"1 red capsicum, finely diced",red capsicum,1,,finely diced
"2 cloves garlic, crushed",garlic,2,cloves,crushed
"400 g tinned brown lentils, rinsed and drained",tinned brown lentils,400,g,rinsed and drained
"1 small red chilli, sliced",red chilli,1,small,sliced
"3 tbsp taco seasoning, reduced salt",taco seasoning,3,tbsp,reduced salt
500 ml water,water,500,ml,
"400 g tinned tomatoes, diced",tinned tomatoes,400,g,diced
"100 grams wholemeal pasta, any shape",wholemeal pasta,100,grams,any shape
"120 g reduced-fat cheddar cheese, grated",reduced-fat cheddar cheese,120,g,grated
"25 g plain corn chips, crushed",plain corn chips,25,g,crushed
65 g reduced-fat Greek natural yoghurt,reduced-fat Greek natural yoghurt,65,g,
"2 tbsp fresh coriander, chopped",fresh coriander,2,tbsp,chopped
"5 red onions, each cut into 6 wedges",red onions,5,,each cut into 6 wedges
"2 heads garlic, skin on and each halved widthways",garlic,2,heads,skin on and each halved widthways
"3 baking potatoes, skin on and each quartered lengthways",baking potatoes,3,,skin on and each quartered lengthways
120 ml olive oil,olive oil,120,ml,
"750 g red plums, halved and pitted",red plums,750,g,halved and pitted
3 sprigs rosemary,rosemary,3,sprigs,
8 pork sausages,pork sausages,8,,
3 tbsp apple cider vinegar,apple cider vinegar,3,tbsp,
90 g pomegranate molasses,pomegranate molasses,90,g,
50 g soft light brown sugar,soft light brown sugar,50,g,
2 tbsp sumac,sumac,2,tbsp,
"10 g parsley leaves, with some stem attached",parsley leaves,10,g,with some stem attached
salt and black pepper,salt and black pepper,,,
1 aubergine,aubergine,1,,
"0.5 lemon, zest and juice plus wedges to serve",lemon,0.5,,zest and juice  plus wedges to serve
"2 large cloves garlic, finely grated",garlic,2,large cloves,finely grated
"1 tsp fresh oregano, or 0.5 tsp dried",fresh oregano,1,tsp,or 0.5 tsp dried
"2 tsp extra virgin olive oil, plus 0.5 tsp",extra virgin olive oil,2,tsp,plus 0.5 tsp
"2 lean leg lamb steaks, about 100 g each, all visible fat removed",lean leg lamb steaks,2,,"about 100 g each, all visible fat removed"
100 g frozen baby broad beans or soya beans,frozen baby broad beans or soya beans,100,g,
2 tbsp Greek bio yogurt,Greek bio yogurt,2,tbsp,
2 tsp tahini,tahini,2,tsp,
"12 mint leaves, roughly torn",mint leaves,12,,roughly torn
1 lime,lime,1,,
4 salmon fillets,salmon fillets,4,,
fresh ginger,fresh ginger,,,
1-2 red chillis,red chillis,1-2,,
fresh coriander,fresh coriander,,,
soy sauce,soy sauce,,,
400 g wild rice,wild rice,400,g,
4-6 good quality sausages,good quality sausages,4-6,,
1 tbsp olive oil,olive oil,1,tbsp,
"0.5 onion, finely chopped",onion,0.5,,finely chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
2 tsp ground coriander and cumin,ground coriander and cumin,2,tsp,
140 g long grain rice,long grain rice,140,g,
850 ml vegetable stock,vegetable stock,850,ml,
1 tin tomatoes,tomatoes,1,tin,
coriander leaves to garnish,coriander leaves to garnish,,,
Salt to taste,Salt to taste,,,
3 tbsp olive oil,olive oil,3,tbsp,
"3 cloves garlic, or more, lightly smashed and peeled",garlic,3,cloves,"or more, lightly smashed and peeled"
"3 anchovy fillets, or more",anchovy fillets,3,,or more
1x 28 oz can whole plum tomatoes,whole plum tomatoes,1x,28 oz can,
"Freshly ground black pepper, to taste",Freshly ground black pepper,,,to taste
"0.25 cup pitted black olives, preferably oil-cured",pitted black olives,0.25,cup,preferably oil-cured
2 tbsp capers,capers,2,tbsp,
"Crushed red pepper flakes, to taste",Crushed red pepper flakes,,,to taste
1 lb linguine or other long pasta,linguine or other long pasta,1,lb,
"Chopped fresh parsley, oregano, marjoram or basil leaves for garnish, optional","Chopped fresh parsley, oregano, marjoram or basil leaves for garnish",,,optional
500 g puff pastry,puff pastry,500,g,
500 g minced beef,minced beef,500,g,
"1 large onion, finely chopped",onion,1,large,finely chopped
a little olive oil,a little olive oil,,,
"1 red pepper, finely chopped",red pepper,1,,finely chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
1 chilli finely chopped,chilli finely chopped,1,,
400 g chopped tomatoes,chopped tomatoes,400,g,
"400 g red kidney beans, drained and rinsed",red kidney beans,400,g,drained and rinsed
0.5 tsp chilli flakes,chilli flakes,0.5,tsp,
2 tsp paprika,paprika,2,tsp,
generous splash of Worcestershire sauce,of Worcestershire sauce,,generous splash,
"4-5 medium sweet potatoes, skin on and cut widthways into 2.5 cm-thick rounds (1 kq)",sweet potatoes,4-5,medium,skin on and cut widthways into 2.5 cm-thick rounds (1 kq)
2 tbsp olive oil,olive oil,2,tbsp,
1.5 tbsp maple syrup,maple syrup,1.5,tbsp,
0.5 tsp ground cardamom,ground cardamom,0.5,tsp,
0.5 tsp ground cumin,ground cumin,0.5,tsp,
salt and black pepper,salt and black pepper,,,
75 ml olive oil,olive oil,75,ml,
"6 cloves garlic, finely chopped (not crushed)",garlic,6,cloves,finely chopped (not crushed)
"2 green chillies, finely chopped (deseeded for less heat)",green chillies,2,,finely chopped (deseeded for less heat)
"2 small banana shallots, finely chopped (100 g)",banana shallots,2,small,finely chopped (100 g)
"1x 400 g tin plum tomatoes, blitzed in a food processor or blender until smooth",plum tomatoes,1x ,400 g tin,blitzed in a food processor or blender until smooth
1 tbsp tomato paste,tomato paste,1,tbsp,
1.5 tsp caster sugar,caster sugar,1.5,tsp,
1.5 tsp ground cardamom,ground cardamom,1.5,tsp,
1 tsp ground cumin,ground cumin,1,tsp,
"2 limes, finely grate the zest to get 1 tsp and juice to get 1 tbsp then cut the remainder into wedges to serve",limes,2,,finely grate the zest to get 1 tsp and juice to get 1 tbsp then cut the remainder into wedges to serve
"2 tsp dill, finely chopped, to serve",dill,2,tsp,"finely chopped, to serve"
1 large onion,onion,1,large,
1 carrot,carrot,1,,
2 sticks celery,celery,2,sticks,
5 cloves garlic,garlic,5,cloves,
400 g pork sausage,pork sausage,400,g,
400 g chorizo,chorizo,400,g,
2 tbsp tomato puree,tomato puree,2,tbsp,
175 ml red wine,red wine,175,ml,
2x 400 g tin chopped tomatoes,chopped tomatoes,2x,400 g tin,
small handful parsley,parsley,,small handful,
500 g rigatoni,rigatoni,500,g,
20 g parmesan,parmesan,20,g,
salt and pepper,salt and pepper,,,
olive oil,olive oil,,,
handful pine nuts,pine nuts,,handful,
1 tbsp olive oil,olive oil,1,tbsp,
"1 large onion, halved and sliced",onion,1,large,halved and sliced
"2 sticks cinnamon, broken in half",cinnamon,2,sticks,broken in half
"500 g lean fillet or leg of lamb, cubed",lean fillet or leg of lamb,500,g,cubed
250 g basmati rice,basmati rice,250,g,
1 lamb or vegetable stock cube,lamb or vegetable stock cube,1,,
12 ready to eat dried apricots,ready to eat dried apricots,12,,
"handful mint leaves, roughly chopped",mint leaves,,handful,roughly chopped
1 tbsp olive oil,olive oil,1,tbsp,
1x 160 g pack smoked bacon lardons lardons,smoked bacon lardons lardons,1x,160 g pack,
"1 large onion, finely chopped",onion,1,large,finely chopped
"1 large carrot, finely diced",carrot,1,large,finely diced
"1 leek, white and pale green parts only, sliced",leek,1,,"white and pale green parts only, sliced"
"3 cloves garlic, crushed",garlic,3,cloves,crushed
"1.2 l chicken stock, made using 2 cubes or stockpots",chicken stock,1.2,l,made using 2 cubes or stockpots
"2x 400 g tins cannellini beans, rinsed and drained",cannellini beans,2x,400 g tins,rinsed and drained
"2 tbsp finely chopped fresh rosemary (or 2 tsp dried), plus extra sprigs to garnish, optional",finely chopped fresh rosemary (or 2 tsp dried),2,tbsp,"plus extra sprigs to garnish, optional"
"100 g macaroni, or other small dried pasta",macaroni,100,g,or other small dried pasta
"100 g cavolo nero or kale, stalks removed kale, stalks removed and leaves shredded",cavolo nero or kale,100,g,"stalks removed kale, stalks removed and leaves shredded"
"50 g Parmesan shavings, omit the Parmesan if required for dairy-free",Parmesan shavings,50,g,omit the Parmesan if required for dairy-free
2 tbsp extra-virgin olive oil,extra-virgin olive oil,2,tbsp,
"1 kg ground pork, divided",ground pork,1,kg,divided
"2 inch piece fresh ginger, peeled and cut into thin matchsticks or finely chopped",piece fresh ginger,2,inch,peeled and cut into thin matchsticks or finely chopped
"8 cloves garlic, thinly sliced",garlic,8,cloves,thinly sliced
2 tbsp sugar,sugar,2,tbsp,
2 tbsp tomato paste,tomato paste,2,tbsp,
"2 sprigs basil, plus more for serving",basil,2,sprigs,plus more for serving
0.333 cup hot chilli paste (such as sambal oelek),hot chilli paste (such as sambal oelek),0.333,cup,
0.25 cup soy sauce,soy sauce,0.25,cup,
0.25 cup unsweetened rice vinegar,unsweetened rice vinegar,0.25,cup,
750 g fresh ramen noodles or 450 g dried spaghetti,fresh ramen noodles or 450 g dried spaghetti,750,g,
kosher salt,kosher salt,,,
2 tbsp unsalted butter,unsalted butter,2,tbsp,
1 large sweet potato,sweet potato,1,large,
2 stalks lemongrass,lemongrass,2,stalks,
2.5 cm piece ginger,ginger,2.5,cm piece,
2 cloves garlic,garlic,2,cloves,
1 tsp sesame oil,sesame oil,1,tsp,
150 ml vegetable stock,vegetable stock,150,ml,
150 ml reduced fat coconut milk,reduced fat coconut milk,150,ml,
1 lime or 6-8 lime leaves,lime or 6-8 lime leaves,1,,
1 long red chilli,long red chilli,1,,
4x 150 g salmon fillets,salmon fillets,4x,150 g,
"mangetout, to serve",mangetout,,,to serve
soy sauce,soy sauce,,,
1 packet (about 7 gram) active dry yeast,(about 7 gram) active dry yeast,1,packet,
1.333 cups tepid water,tepid water,1.333,cups,
1 tsp sugar,sugar,1,tsp,
"4 cups all purpose flour, plus more for kneading",all purpose flour,4,cups,plus more for kneading
1 tbsp extra virgin olive oil,extra virgin olive oil,1,tbsp,
2 tsp kosher salt,kosher salt,2,tsp,
1 tbsp all purpose flour,all purpose flour,1,tbsp,
0.5 tsp baking powder,baking powder,0.5,tsp,
0.333 cups water,water,0.333,cups,
1 tsp extra virgin olive oil,extra virgin olive oil,1,tsp,
"Nigella and sesame seeds, for garnish",Nigella and sesame seeds,,,for garnish
50 g frozen peas,frozen peas,50,g,
4 eggs,eggs,4,,
2 tbsp chopped fresh mint,chopped fresh mint,2,tbsp,
knob of butter,of butter,,knob,
salt and ground black pepper,salt and ground black pepper,,,
"100 ml kimchi juice, drained from 1 jar of kimchi",kimchi juice,100,ml,drained from 1 jar of kimchi
225 ml buttermilk,buttermilk,225,ml,
1 egg,egg,1,,
"3 medium cloves garlic, smashed",garlic,3,medium cloves,smashed
1.5 tsp kosher salt,kosher salt,1.5,tsp,
1 tbsp soy sauce,soy sauce,1,tbsp,
35 g gochugaru (Korean red chili flakes),gochugaru (Korean red chili flakes),35,g,
2 tbsp coarsely ground black pepper,coarsely ground black pepper,2,tbsp,
"6 boneless, skinless chicken thighs","boneless, skinless chicken thighs",6,,
"1 cup drained kimchi, roughly chopped",drained kimchi,1,cup,roughly chopped
150 g mayonnaise,mayonnaise,150,g,
125 ml vegetable or canola oil,vegetable or canola oil,125,ml,
"2 medium cloves garlic, smashed",garlic,2,medium cloves,smashed
35 g gochugaru,gochugaru,35,g,
2 tbsp coarsely ground black pepper,coarsely ground black pepper,2,tbsp,
2 tbsp gochujang (Korean chili paste),gochujang (Korean chili paste),2,tbsp,
1 tbsp honey,honey,1,tbsp,
2 tsp apple cider vinegar,apple cider vinegar,2,tsp,
2 tsp soy sauce,soy sauce,2,tsp,
"Water, as needed",Water,,,as needed
2 tbsp gochugaru,gochugaru,2,tbsp,
2 tsp coarsely ground black pepper,coarsely ground black pepper,2,tsp,
1 tbsp sugar,sugar,1,tbsp,
2 tbsp black sesame seeds,black sesame seeds,2,tbsp,
2 tsp kosher salt,kosher salt,2,tsp,
225 g all-purpose flour,all-purpose flour,225,g,
75 g cornstarch,cornstarch,75,g,
2 tsp baking powder,baking powder,2,tsp,
35 g gochugaru,gochugaru,35,g,
1 tbsp coarsely ground black pepper,coarsely ground black pepper,1,tbsp,
35 g black sesame seeds,black sesame seeds,35,g,
2 tbsp garlic powder,garlic powder,2,tbsp,
1.5 tsp kosher salt,kosher salt,1.5,tsp,
2 litres peanut oil,peanut oil,2,litres,
"6 soft buns, such as potato rolls, toasted in butter, or 6 black sesame biscuits",soft buns,6,,"such as potato rolls, toasted in butter, or 6 black sesame biscuits"
Finely shredded cabbage,Finely shredded cabbage,,,
Sliced dill pickles,Sliced dill pickles,,,
135 g plain flour,plain flour,135,g,
1 tsp baking powder,baking powder,1,tsp,
0.5 tsp salt,salt,0.5,tsp,
2 tbsp caster sugar,caster sugar,2,tbsp,
130 ml milk,milk,130,ml,
"1 large egg, lightly beaten",egg,1,large,lightly beaten
"2 tbsp melted butter (allowed to cool slightly) or olive oil, plus extra for cooking",melted butter (allowed to cool slightly) or olive oil,2,tbsp,plus extra for cooking
400 g gluten free self raising flour,gluten free self raising flour,400,g,
0.25 tsp xanthan gum,xanthan gum,0.25,tsp,
400 g dairy free spread (butter at room temperature works if you don't need to be dairy free),dairy free spread (butter at room temperature works if you don't need to be dairy free),400,g,
350 g caster sugar,caster sugar,350,g,
2 tsp vanilla extract,vanilla extract,2,tsp,
6 eggs,eggs,6,,
400 g icing sugar,icing sugar,400,g,
1 tsp vanilla extract,vanilla extract,1,tsp,
a few tbsp water,a few tbsp water,,,
colour strands decorations,colour strands decorations,,,
"1 boneless pork shoulder joint, about 1.25 kg",boneless pork shoulder joint,1,,about 1.25 kg
2 tbsp olive oil,olive oil,2,tbsp,
"1 large onion, diced",onion,1,large,diced
"2 sticks celery, diced",celery,2,sticks,diced
"2 carrots, diced",carrots,2,,diced
"1 bulb fennel, diced",fennel,1,bulb,diced
"3 cloves garlic, crushed",garlic,3,cloves,crushed
1.5 tbsp fennel seeds,fennel seeds,1.5,tbsp,
3 bay leaves,bay leaves,3,,
4 sprigs thyme,thyme,4,sprigs,
350 ml white wine,white wine,350,ml,
400 ml chicken stock (use &frac12; stock pot or cube) - use gluten free if required,chicken stock (use &frac12; stock pot or cube) - use gluten free if required,400,ml,
1x 400 g tin chopped tomatoes,chopped tomatoes,1x,400 g tin,
"0.5x 30 g pack basil, torn",basil,0.5x,30 g pack, torn
2 tbsp oil or butter,oil or butter,2,tbsp,
"3 onions, sliced",onions,3,,sliced
1 tbsp minced ginger,minced ginger,1,tbsp,
1 tbsp minced garlic,minced garlic,1,tbsp,
1 green chili,green chili,1,,
2 dried bay leaves,dried bay leaves,2,,
6 cloves,cloves,6,,
4 cardamom pods,cardamom pods,4,,
1 cinnamon stick,cinnamon stick,1,,
2 tbsp tomato puree,tomato puree,2,tbsp,
1 pinch ground nutmeg,ground nutmeg,1,pinch,
0.5 tsp ground black pepper,ground black pepper,0.5,tsp,
0.25 tsp ground cumin,ground cumin,0.25,tsp,
0.5 tsp ground coriander,ground coriander,0.5,tsp,
"3 medium carrots, thinly sliced",carrots,3,medium,thinly sliced
200 g canned diced tomatoes (or 3 tomatoes chopped),canned diced tomatoes (or 3 tomatoes chopped),200,g,
2 chicken stock cubes,chicken stock cubes,2,,
"1.5 kg whole chicken, cut into 6 pieces",whole chicken,1.5,kg,cut into 6 pieces
"3 cups basmati rice, rinsed",basmati rice,3,cups,rinsed
0.25 cup raisins,raisins,0.25,cup,
Water,Water,,,
Salt to taste,Salt to taste,,,
"Raisins, to garnish (optional)",Raisins,,,to garnish (optional)
"Slivered almonds, to garnish (optional)",Slivered almonds,,,to garnish (optional)
0.25 tsp ground cardamom,ground cardamom,0.25,tsp,
0.25 tsp ground white pepper,ground white pepper,0.25,tsp,
0.25 tsp saffron,saffron,0.25,tsp,
0.5 tsp ground cinnamon,ground cinnamon,0.5,tsp,
0.5 tsp ground all spice,ground all spice,0.5,tsp,
0.5 tsp dried whole lime powder,dried whole lime powder,0.5,tsp,
"225 g unsalted butter, plus extra for greasing",unsalted butter,225,g,plus extra for greasing
"150 g white chocolate, broken up into pieces",white chocolate,150,g,broken up into pieces
"3 large eggs, lightly beaten",eggs,3,large,lightly beaten
2 tsp vanilla bean paste,vanilla bean paste,2,tsp,
200 g light brown soft sugar,light brown soft sugar,200,g,
80 g golden syrup,golden syrup,80,g,
2 pinches sea salt,sea salt,2,pinches,
