Input,quantity,unit,item,comment
"2.5 cm piece ginger, finely grated",2.5,cm piece,ginger,finely grated
"thumbnail-size piece ginger, grated",,thumbnail-size piece,ginger,grated
"1 stick celery, finely diced",1,stick,celery,finely diced
a little olive oil,,,a little olive oil,
8 British pork sausages,8,,British pork sausages,
2 heaped tbsp curry paste,2,heaped tbsp,curry paste,
"0.5 red pepper, chopped",0.5,,red pepper,chopped
4 tbsp tomato puree,4,tbsp,tomato puree,
1 tsp minced garlic,1,tsp,minced garlic,
100 ml red wine,100,ml,red wine,
"1 onion, diced",1,,onion,diced
0.125 tsp smoked paprika,0.125,tsp,smoked paprika,
0.5 mug raisins,0.5,mug,raisins,
1 tbsp low sodium light soy sauce,1,tbsp,low sodium light soy sauce,
1 tbsp vegetable oil,1,tbsp,vegetable oil,
"0.5 small bunch coriander, roughly chopped",0.5,small bunch,coriander,roughly chopped
0.25 tsp chilli flakes,0.25,tsp,chilli flakes,
125 g unsalted butter,125,g,unsalted butter,
"25 g Parmesan, finely grated",25,g,Parmesan,finely grated
1 tbsp wine vinegar,1,tbsp,wine vinegar,
4.5 tbsp rice vinegar,4.5,tbsp,rice vinegar,
juice and zest of &frac12; lemon,,,juice and zest of &frac12; lemon,
"50 g green beans, trimmed and cut into 2.5 cm lengths",50,g,green beans,trimmed and cut into 2.5 cm lengths
2 bell peppers,2,,bell peppers,
1 small sweet potato,1,small,sweet potato,
1x 240 g pack salmon fillets,1x,240 g pack,salmon fillets,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
"40 g rosemary, leaves picked and very finely chopped",40,g,rosemary,leaves picked and very finely chopped
"1 lemon, zested and juiced",1,,lemon,zested and juiced
1 tbsp olive oil,1,tbsp,olive oil,
sea salt flakes and freshly ground black pepper,,,sea salt flakes and freshly ground black pepper,
1 tbsp extra virgin olive oil,1,tbsp,extra virgin olive oil,
1 beef stock cube,1,,beef stock cube,
1 mug water,1,mug,water,
2 mugs water,2,mugs,water,
"12 corn or flour tortillas, 15 cm wide, warmed through",12,,corn or flour tortillas,"15 cm wide, warmed through"
3 tbsp creme fraiche,3,tbsp,creme fraiche,
500 ml water,500,ml,water,
"1 medium red onion, cut into wedges",1,medium,red onion,cut into wedges
15 oz fire roasted diced tomatoes,15,oz,fire roasted diced tomatoes,
small handful chopped parsley leaves,,small handful,chopped parsley leaves,
"1 medium onion, sliced",1,medium,onion,sliced
pot of dijon mustard,,,pot of dijon mustard,
"parsley sprigs, to serve",,,parsley sprigs,to serve
2 tbsp Dijon mustard,2,tbsp,Dijon mustard,
"crusty bread, to serve",,,crusty bread,to serve
2 tbsp oil,2,tbsp,oil,
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
"1 onion, diced",1,,onion,diced
"large bunch of fresh coriander, finely chopped",,large bunch,of fresh coriander,finely chopped
1 tbsp olive oil,1,tbsp,olive oil,
"1 red pepper, deseeded and finely diced",1,,red pepper,deseeded and finely diced
"1 yellow pepper, chopped",1,,yellow pepper,chopped
0.25-0.333 cups hot sauce,0.25-0.333,cups,hot sauce,
0.75 tsp ground cardamom,0.75,tsp,ground cardamom,
6-7 tbsp water,6-7,tbsp,water,
"4 rashers streaky bacon, to serve",4,rashers,streaky bacon,to serve
1 zucchini,1,,zucchini,
400 g tin red kidney beans in water,400,g tin,red kidney beans in water,
2 tsp ground turmeric,2,tsp,ground turmeric,
"225 g unsalted butter, chilled",225,g,unsalted butter,chilled
400 g gluten free self raising flour,400,g,gluten free self raising flour,
"1 bunch coriander leaves, chopped",1,bunch,coriander leaves,chopped
2 tsp garam masala,2,tsp,garam masala,
1x 400 g tin chopped tomatoes,1x,400 g tin,chopped tomatoes,
"1 large onion, chopped",1,large,onion,chopped
"100 g dried apricots, chopped",100,g,dried apricots,chopped
2 bay leaves,2,,bay leaves,
1 tbsp olive oil,1,tbsp,olive oil,
1x 300 g pack extra-lean pork fillet medallions,1x,300 g pack,extra-lean pork fillet medallions,
1.5 tsp saffron threads,1.5,tsp,saffron threads,
100 g frozen peas,100,g,frozen peas,
4 tsps garam masala,4,tsps,garam masala,
2 tbsp olive oil,2,tbsp,olive oil,
4 boneless skinless chicken breasts,4,,boneless skinless chicken breasts,
0.25 cup frozen peas,0.25,cup,frozen peas,
"100 g Parmesan, grated",100,g,Parmesan,grated
1 tbsp chopped parsley (optional),1,tbsp,chopped parsley (optional),
"0.5 lemon, juiced",0.5,,lemon,juiced
"1x 198 g can sweetcorn, drained",1x,198 g can,sweetcorn,drained
1x 400 g can chopped tomatoes,1x,400 g can,chopped tomatoes,
2 spring onions,2,,spring onions,
1 organic lamb or beef stock cube,1,,organic lamb or beef stock cube,
"1 yellow onion, diced",1,,yellow onion,diced
400 g dairy free spread (butter at room temperature works if you don't need to be dairy free),400,g,dairy free spread (butter at room temperature works if you don't need to be dairy free),
"thumb-sized piece ginger, grated",,thumb-sized piece,ginger,grated
500 g minced beef,500,g,minced beef,
"1x 206 g pack cubetti di pancetta, or 180g smoked cubetti di pancetta",1x,206 g pack,cubetti di pancetta,or 180g smoked cubetti di pancetta
"semolina, for rolling",,,semolina,for rolling
"1 kg lamb, diced",1,kg,lamb,diced
"1 tbsp olive oil, plus a drizzle",1,tbsp,olive oil,plus a drizzle
small handful coriander leaves,,small handful,coriander leaves,
juice &frac12; lemon,,,juice &frac12; lemon,
"100 g sourdough bread, crusts removed, torn into bite-size chunks",100,g,sourdough bread,"crusts removed, torn into bite-size chunks"
250 g orzo,250,g,orzo,
2x 185 g tins tuna,2x,185 g tins,tuna,
1 tsp chilli powder,1,tsp,chilli powder,
"1 small pack coriander, stalks finely chopped leaves roughly shredded",1,small pack,coriander,stalks finely chopped  leaves roughly shredded
"130 g Parmesan, very finely grated",130,g,Parmesan,very finely grated
0.5 tsp freshly ground black pepper,0.5,tsp,freshly ground black pepper,
450 g minced pork,450,g,minced pork,
0.5 tsp onion powder,0.5,tsp,onion powder,
"4 oz fresh mozzarella, sliced",4,oz,fresh mozzarella,sliced
2 nests medium egg noodles,2,nests,medium egg noodles,
1 tbsp plain flour,1,tbsp,plain flour,
a handful of rocket leaves,,,a handful of rocket leaves,
150 g quinoa,150,g,quinoa,
"400 g pork fillet, cut into 4 cm chunks",400,g,pork fillet,cut into 4 cm chunks
"3 green onions, sliced",3,,green onions,sliced
4 tbsp icy water,4 tbsp,,icy water,
0.25 tsp ground cumin,0.25,tsp,ground cumin,
0.25 tsp onion powder,0.25,tsp,onion powder,
450 ml chicken stock,450,ml,chicken stock,
1.5 cups mixed pitted olives,1.5,cups,mixed pitted olives,
2 tbsp olive or rapeseed oil,2,tbsp,olive or rapeseed oil,
"2 peppers, sliced, any colour will do",2,,peppers,"sliced, any colour will do"
"bunch spring onions, chopped",,bunch,spring onions,chopped
100 g diced chorizo,100,g,diced chorizo,
6 tbsp tomato puree/paste,6,tbsp,tomato puree/paste,
4 tbsps dessicated coconut,4,tbsps,dessicated coconut,
"green salad, to serve",,,green salad,to serve
juice of lemon,,,juice of lemon,
"1 leek, thinly sliced",1,,leek,thinly sliced
125 g frozen edamame beans,125,g,frozen edamame beans,
2x 350 g jars tomato and chargrilled vegetable sauce or similar,2x,350 g jars,tomato and chargrilled vegetable sauce or similar,
100 g baby leaf spinach,100,g,baby leaf spinach,
juice of 1 lemon,,,juice of 1 lemon,
0.5 tsp sugar,0.5,tsp,sugar,
0.5 tsp ground cumin,0.5,tsp,ground cumin,
4 eggs,4,,eggs,
"1x 500 g pack fresh puff pastry, or frozen and defrosted",1x,500 g pack,fresh puff pastry,or frozen and defrosted
1 tsp concentrated chicken stock,1,tsp,concentrated chicken stock,
2 tbsp groundnut oil,2,tbsp,groundnut oil,
1 tsp olive oil,1,tsp,olive oil,
sea salt,,,sea salt,
"0.5 red chilli, deseeded and finely chopped (optional)",0.5,,red chilli,deseeded and finely chopped (optional)
0.5 tsp paprika,0.5,tsp,paprika,
0.5 tsp ground coriander,0.5,tsp,ground coriander,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
"2x 400 g cans green lentils, drained and rinsed (drained weight 240g)",2x,400 g cans,green lentils,drained and rinsed (drained weight 240g)
1 tbsp clear honey,1,tbsp,clear honey,
500 g lamb mince,500,g,lamb mince,
1 mug basmati rice,1,mug,basmati rice,
1x 500 g bag dried red lentils,1x,500 g bag,dried red lentils,
"1 lemon, cut into wedges",1,,lemon,cut into wedges
3 tbsp soy sauce,3,tbsp,soy sauce,
1 egg,1,,egg,
"3 cloves garlic, crushed",3,cloves,garlic,crushed
4 eggs,4,,eggs,
4 tbsp passata,4,tbsp,passata,
200 g couscous,200,g,couscous,
"4 slices streaky bacon, chopped",4,,slices streaky bacon,chopped
200 g spinach,200,g,spinach,
1 onion,1,,onion,
1 tsp dried thyme,1,tsp,dried thyme,
"450 g plaice fillets (or use a similar white fish), skin and pin-bones removed, cut into 2-3cm chunks",450,g,plaice fillets (or use a similar white fish),"skin and pin-bones removed, cut into 2-3cm chunks"
1 tsp sesame oil,1,tsp,sesame oil,
"25 g parsley, roughly chopped",25,g,parsley,roughly chopped
salt and pepper,,,salt and pepper,
"400 g cannellini beans, drained and washed",400,g,cannellini beans,drained and washed
"1 medium clove garlic, lightly crushed",1,medium clove,garlic,lightly crushed
0.5 tsp dried thyme,0.5,tsp,dried thyme,
150 g tomato puree,150,g,tomato puree,
"300 g frozen peas, defrosted",300,g,frozen peas,defrosted
0.5 tsp fine sea salt,0.5,tsp,fine sea salt,
2 tbsp capers,2,tbsp,capers,
1 vegetable bouillon cube,1,,vegetable bouillon cube,
1 tbsp caster sugar,1,tbsp,caster sugar,
"couscous or fresh crusty bread, to serve",,,couscous or fresh crusty bread,to serve
2 tbsp Thai red curry paste,2,tbsp,Thai red curry paste,
1 tsp ground coriander,1,tsp,ground coriander,
4 tbsp butter,4,tbsp,butter,
2 tbsp dried shrimp,2,tbsp,dried shrimp,
vegetable oil,,,vegetable oil,
0.5 tsp salt,0.5,tsp,salt,
1 tsp English mustard,1,tsp,English mustard,
"1 large courgette, sliced",1,large,courgette,sliced
30 ml light soy sauce,30,ml,light soy sauce,
2 fish stock cubes,2,,fish stock cubes,
"2 cm knob of ginger, peeled and cut into matchsticks",2,cm,knob of ginger,peeled and cut into matchsticks
"2 little gem lettuce, torn",2,,little gem lettuce,torn
1 large ring chorizo,1,large ring,chorizo,
2 sprigs thyme,2,sprigs,thyme,
"new potatoes and greens, to serve",,,new potatoes and greens,to serve
pinch of salt,,,pinch of salt,
"1 cup chicken broth, or more as needed",1,cup,chicken broth,or more  as needed
"2 onions, finely chopped",2,,onions,finely chopped
0.5 tsp chilli powder,0.5,tsp,chilli powder,
1.5 cups fresh breadcrumbs,1.5,cups,fresh breadcrumbs,
1 tbsp sunflower or rapeseed oil,1,tbsp,sunflower or rapeseed oil,
600 ml vegetable stock,600,ml,vegetable stock,
2 tbsp finely chopped fresh parsley,2,tbsp,finely chopped fresh parsley,
5 tbsp plain Greek yogurt,5,tbsp,plain Greek yogurt,
1 tbsp salted butter,1,tbsp,salted butter,
2 tbsp medium curry powder,2,tbsp,medium curry powder,
300 ml chicken stock,300,ml,chicken stock,
50 g butter,50,g,butter,
2x 400 g cans chopped tomatoes with liquid,2x,400 g cans,chopped tomatoes with liquid,
100 g chopped kale,100,g,chopped kale,
0.5 tsp dried thyme,0.5,tsp,dried thyme,
0.5 cup freshly grated Parmesan,0.5,cup,freshly grated Parmesan,
"400 g potatoes, cut into large cubes",400,g,potatoes,cut into large cubes
2 tsp caster sugar,2,tsp,caster sugar,
1 tbsp smoked paprika,1,tbsp,smoked paprika,
5 oz chopped sharp provolone cheese,5,oz,chopped sharp provolone cheese,
180 ml passata,180,ml,passata,
"handful flat-leaf parsley, roughly chopped",,handful,flat-leaf parsley,roughly chopped
large knob of butter,,large knob,of butter,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
2 tbsp tomato puree,2,tbsp,tomato puree,
juice of 1 lime,,,juice of 1 lime,
"1 clove garlic, crushed",1,clove,garlic,crushed
100 g watercress,100,g,watercress,
"grating of whole nutmeg, nutmeg",,grating,of whole nutmeg,nutmeg
2 tbsp toasted sesame oil,2,tbsp,toasted sesame oil,
1 tbsp freshly grated ginger,1,tbsp,freshly grated ginger,
300 ml Greek Yoghurt,300,ml,Greek Yoghurt,
2 tbsp blackcurrant jelly,2,tbsp,blackcurrant jelly,
0.5 cup chicken broth,0.5,cup,chicken broth,
8 oz. fettuccine,8,oz.,fettuccine,
2 generous tbsp clear honey,2,generous tbsp,clear honey,
1 tsp salt,1,tsp,salt,
"soured cream, to serve",,,soured cream,to serve
2 tbsp butter,2,tbsp,butter,
"15 g Belgian dark cooking chocolate, chopped",15,g,Belgian dark cooking chocolate,chopped
2 tbsp ras el hanout (Moroccan spice blend),2,tbsp,ras el hanout (Moroccan spice blend),
"2 frozen, skinless wild salmon fillets (about 120g each)",2,,frozen,skinless wild salmon fillets (about 120g each)
0.5 mug water,0.5,mug,water,
"4 oz pepper jack cheese, shredded",4,oz,pepper jack cheese,shredded
1-2 tbsp olive oil,1-2,tbsp,olive oil,
1x 400 ml cans coconut milk,1x,400 ml cans,coconut milk,
juice of 2 lemons,,,juice of 2 lemons,
200 g spinach,200,g,spinach,
"50 g butter, softened",50,g,butter,softened
60 g butter,60,g,butter,
"1 handful fresh parsley, roughly chopped",1,handful,fresh parsley,roughly chopped
"4 cloves garlic, crushed",4,cloves,garlic,crushed
12 lamb meatballs,12,,lamb meatballs,
"small bunch flat-leaf parsley, chopped",,,small bunch flat-leaf parsley,chopped
2 tbsp curry powder,2,tbsp,curry powder,
0.25 tsp cayenne pepper,0.25,tsp,cayenne pepper,
300 ml vegetable stock,300,ml,vegetable stock,
"800 g stewing steak, quality lamb or higher-welfare pork, cubed",800,g,"stewing steak, quality lamb or higher-welfare pork",cubed
pinch of granulated sugar,,pinch,of granulated sugar,
"2 carrots, diced",2,,carrots,diced
1 tsp fennel seeds (optional),1,tsp,fennel seeds (optional),
"1.5 cups grape or cherry tomatoes, sliced in half",1.5,cups,grape or cherry tomatoes,sliced in half
3 tbsp chilli powder,3,tbsp,chilli powder,
1 brown onion,1,,brown onion,
300 g minced beef (12% fat),300,g,minced beef (12% fat),
"crusty bread, to serve",,,crusty bread,to serve
"0.5 lemon, cut into wedges",0.5,,lemon,cut into wedges
15 ml olive oil,15,ml,olive oil,
"small pack parsley, roughly chopped, to serve",,small pack,parsley,"roughly chopped, to serve"
"2 spring onions, trimmed and finely chopped",2,,spring onions,trimmed and finely chopped
10 black peppercorns,10,,black peppercorns,
50 g sultanas,50,g,sultanas,
260 g cooked and peeled king prawns,260,g,cooked and peeled king prawns,
1 tsp garam masala,1,tsp,garam masala,
2 eggs,2,,eggs,
"1 onion, finely chopped",1,,onion,finely chopped
300 ml single cream,300,ml,single cream,
1 tsp sugar,1,tsp,sugar,
"100 g butter, melted",100,g,butter,melted
2 mugs rice,2,mugs,rice,
8 eggs,8,,eggs,
"140 g mature cheddar, grated",140,g,mature cheddar,grated
4 cups vegetable broth,4,cups,vegetable broth,
200 g bulghar wheat,200,g,bulghar wheat,
250 g penne,250,g,penne,
"0.5 tsp caster sugar, or a bit more or less, depending on the sweetness of the tomatoes",0.5,tsp,caster sugar,"or a bit more or less, depending on the sweetness of the tomatoes"
400 g baking potatoes,400,g,baking potatoes,
"8 large sausages, course-cut ones like Toulouse or Cumberland are ideal",8,large,sausages,course-cut ones like Toulouse or Cumberland are ideal
0.5 mug water,0.5,mug,water,
30 g butter,30,g,butter,
100 g raw shelled prawns,100,g,raw shelled prawns,
1 tbsp sugar,1,tbsp,sugar,
a handful of cress or sprouted seeds (optional),,a handful,of cress or sprouted seeds (optional),
1 tbsp vegetable bouillon powder,1,tbsp,vegetable bouillon powder,
"200 g chorizo sausage, diced",200,g,chorizo sausage,diced
"16 oz swirly short cut pasta such as rotini, cooked to al dente",16,oz,swirly short cut pasta such as rotini,cooked to al dente
50 g pomegranate seeds,50,g,pomegranate seeds,
500 ml vegetable stock,500,ml,vegetable stock,
1 heaped tbsp Madras curry pasta,1,heaped tbsp,Madras curry pasta,
1 tbsp smooth peanut butter,1,tbsp,smooth peanut butter,
60 g plain flour,60,g,plain flour,
1 tsp ground cumin,1,tsp,ground cumin,
"Crusty bread , to serve",,,Crusty bread ,to serve
"1x 400 g can chickpeas, drained and rinsed",1x,400 g can,chickpeas,drained and rinsed
"2 cloves garlic, crushed",2,cloves,garlic,crushed
250 g chestnut mushrooms,250,g,chestnut mushrooms,
1 tsp Dijon mustard,1,tsp,Dijon mustard,
"2x 400 g cans borlotti beans, drained",2x,400 g cans,borlotti beans,drained
2 tbsp oil,2,tbsp,oil,
"4 tsp fennel seeds, toasted and lightly crushed",4,tsp,fennel seeds,toasted and lightly crushed
"1 onion, roughly chopped",1,,onion,roughly chopped
2 mugs penne pasta,2,mugs,penne pasta,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
0.5 cup dry white wine,0.5,cup,dry white wine,
300 g frozen peas,300,g,frozen peas,
1 tbsp black treacle or muscovado sugar,1,tbsp,black treacle or muscovado sugar,
"1 yellow pepper, sliced",1,,yellow pepper,sliced
4 tbsp wholegrain mustard,4,tbsp,wholegrain mustard,
500 g beef mince,500,g,beef mince,
2 tbsps full fat coconut milk,2,tbsps,full fat coconut milk,
"2 medium potatoes, washed and cut into 2 cm cubes",2,medium,potatoes,washed and cut into 2 cm cubes
good handful fresh basil leaves,,good handful,fresh basil leaves,
"900 g lean lamb, cut into 3 cm chunks",900,g,lean lamb,cut into 3 cm chunks
0.25 cup grated Parmesan,0.25,cup,grated Parmesan,
100 g bean sprouts,100,g,bean sprouts,
"150 g green olives, chopped",150,g,green olives,chopped
400 g spaghetti,400,g,spaghetti,
1 tbsp chopped fresh cilantro,1,tbsp,chopped fresh cilantro,
2 tsp dried thyme,2,tsp,dried thyme,
